target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
22019,2021,9,2,"22003,22003"
08081,2025,6,8,"08045,08037,08045,08049,49043,08045,49019,49043"
51153,2022,8,2,"51600,51610"
13321,2024,1,4,"13261,13315,13261,13315"
28071,2020,2,2,"28009,28009"
46117,2023,9,1,46015
40143,2021,5,3,"40103,40103,40035"
47167,2022,5,4,"05037,05123,47033,47033"
36111,2020,12,3,"36079,34031,36079"
46057,2021,9,10,"27081,27117,46079,46101,46005,27073,27081,27173,46005,46079"
21111,2025,5,6,"18143,21223,18025,21103,21223,21103"
24017,2023,8,1,51685
48019,2021,12,2,"48013,48013"
19173,2023,4,3,"19129,19129,29003"
04005,2020,7,2,"32017,49021"
39015,2020,8,2,"21201,21201"
51800,2025,6,1,37143
06007,2021,12,2,"06033,06033"
37049,2025,2,1,37187
54059,2025,5,3,"21071,21071,21119"
26055,2020,10,2,"26133,26133"
13091,2021,3,3,"13283,13209,13283"
19069,2023,6,4,"19189,19195,19189,19195"
35021,2024,7,3,"08023,35055,35055"
21049,2021,6,1,21097
05145,2021,6,1,05123
53013,2022,6,7,"41049,53005,53001,53005,53005,16009,53001"
22077,2024,1,1,22107
05007,2024,1,2,"05101,05101"
08089,2023,5,2,"08023,08043"
05147,2021,2,2,"05035,05035"
18069,2020,9,2,"18009,18009"
12113,2023,4,1,01035
21221,2024,9,6,"21055,21233,21219,21055,21139,21139"
08055,2021,7,7,"08021,08105,08021,08011,08053,08079,08105"
54041,2024,3,2,"54067,54067"
55007,2023,4,5,"55051,55005,55107,55005,55107"
06011,2021,10,4,"06045,06045,06055,06055"
22051,2020,7,2,"22093,22093"
13091,2024,4,2,"13283,13283"
13155,2023,7,4,"13271,13315,13271,13315"
47077,2025,5,3,"47069,28003,47069"
35029,2024,6,2,"35003,35003"
55009,2022,6,3,"26019,26019,26105"
40003,2020,7,2,"20033,20033"
12101,2023,6,5,"12049,12081,12049,12055,12081"
29171,2021,12,1,29103
20095,2023,4,4,"40003,40003,40053,40053"
47141,2024,6,4,"47177,47137,47137,47177"
13303,2022,6,4,"13301,13133,13301,13301"
22101,2021,4,5,"22047,22093,22047,22047,22077"
32013,2024,6,4,"16083,16083,32029,16087"
54031,2024,8,2,"51840,54093"
22075,2021,3,1,28045
18111,2023,5,3,"18181,18131,18181"
48181,2023,3,1,40005
18107,2024,6,1,18181
20193,2025,6,1,31065
29063,2020,4,7,"20043,20043,29033,29117,29177,29177,29117"
17093,2024,6,1,17123
28151,2024,2,4,"05107,28027,28027,28135"
48379,2020,5,2,"48119,48119"
20057,2024,6,1,40059
40073,2024,9,2,"40003,40003"
41067,2022,4,5,"41027,41065,41027,53059,41041"
08103,2024,9,3,"49009,08049,49009"
35059,2024,8,3,"08023,08023,35055"
51510,2022,8,3,"51610,51600,51610"
17163,2023,6,3,"17051,29186,29186"
13277,2023,1,1,13315
29023,2022,2,1,29093
51109,2024,6,1,51630
13073,2023,7,5,"13317,13163,13301,13317,13163"
08085,2020,5,4,"08053,08109,08053,49007"
13289,2020,5,1,13283
21221,2023,1,2,"47079,47079"
41045,2022,9,6,"16045,16045,16045,32027,41049,41037"
13239,2021,5,1,13053
16005,2020,5,3,"49005,49033,49005"
22113,2025,6,1,22007
28147,2023,4,4,"28065,28063,28065,28073"
48113,2024,6,1,48349
31001,2024,4,2,"31121,31121"
05021,2025,5,2,"29223,29143"
