stcofips,year,month,tier,month_t,deviation
01003,2023,4,mid,-1,0.016013541125005304
01003,2023,4,mid,-2,-0.13106572225727575
01003,2023,4,mid,-3,-0.15331372736974913
01011,2025,5,mid,-1,0.8447198012473365
01011,2025,5,mid,-2,1.1439146680583008
01011,2025,5,mid,-3,0.7276534284546017
01021,2023,6,mid,-1,-0.02812138335653458
01021,2023,6,mid,-2,0.391272192212341
01021,2023,6,mid,-3,0.4739700720609932
01023,2024,5,mid,-1,-0.33621054525175964
01023,2024,5,mid,-2,0.09818110743292152
01023,2024,5,mid,-3,1.6205122415319977
01025,2023,4,mid,-1,-0.27126539592899235
01025,2023,4,mid,-2,-0.41174952605130954
01025,2023,4,mid,-3,-0.29180540499619667
01025,2025,5,mid,-1,-0.516221394588797
01025,2025,5,mid,-2,-0.8371406735126925
01025,2025,5,mid,-3,-0.599786318957328
01027,2022,5,mid,-1,0.9311292182462836
01027,2022,5,mid,-2,2.7245527199734596
01027,2022,5,mid,-3,5.7767954085773
01029,2022,6,mid,-1,-0.09373393415314979
01029,2022,6,mid,-2,-0.3306096095901978
01029,2022,6,mid,-3,-0.1663784099142731
01029,2023,8,mid,-1,-0.2267102150894118
01029,2023,8,mid,-2,-0.2719917228858151
01029,2023,8,mid,-3,-0.5439408050186358
01035,2024,12,mid,-1,1.0063124167048585
01035,2024,12,mid,-2,1.718937855315943
01035,2024,12,mid,-3,2.1587370991310024
01039,2023,4,mid,-1,-0.5801642566638918
01039,2023,4,mid,-2,-0.7589010814925103
01039,2023,4,mid,-3,-0.06041271229933898
01047,2023,6,mid,-1,1.247469727324372
01047,2023,6,mid,-2,1.7330993716997654
01047,2023,6,mid,-3,1.854848422001126
01049,2023,7,mid,-1,0.26387908608361954
01049,2023,7,mid,-2,0.06024624345432983
01049,2023,7,mid,-3,0.11235364253874991
01053,2023,4,mid,-1,0.07500517326099043
01053,2023,4,mid,-2,0.05429783895476703
01053,2023,4,mid,-3,-0.3581039942497597
01057,2022,2,mid,-1,-0.2401914537952763
01057,2022,2,mid,-2,-0.8488177508694861
01057,2022,2,mid,-3,-2.022194309992514
01063,2023,6,mid,-1,0.3840309003664686
01063,2023,6,mid,-2,0.6274131275608283
01063,2023,6,mid,-3,0.9991240550081528
01063,2025,5,mid,-1,0.25700923783642793
01063,2025,5,mid,-2,0.9944359290370386
01063,2025,5,mid,-3,1.7847320685789612
01081,2022,6,mid,-1,-1.7757958322465583
01081,2022,6,mid,-2,-4.110142611571021
01081,2022,6,mid,-3,-5.007870908195812
01085,2023,6,mid,-1,-0.36177181519313706
01085,2023,6,mid,-2,0.01133436041871505
01085,2023,6,mid,-3,1.3102228692584248
01091,2023,6,mid,-1,0.4377087354361322
01091,2023,6,mid,-2,0.4593211040562579
01091,2023,6,mid,-3,0.01925290249498346
01095,2023,7,mid,-1,0.4070014188611992
01095,2023,7,mid,-2,0.4469861172037213
01095,2023,7,mid,-3,0.42111786445182986
01099,2025,5,mid,-1,-0.5001816256241227
01099,2025,5,mid,-2,-1.3957421264733085
01099,2025,5,mid,-3,-2.0540581855672997
01105,2022,4,mid,-1,0.8961542032997727
01105,2022,4,mid,-2,1.5101666563008393
01105,2022,4,mid,-3,1.4953967684222533
01105,2023,6,mid,-1,0.6834837829048723
01105,2023,6,mid,-2,1.7271555208638603
01105,2023,6,mid,-3,1.951285536451664
01109,2025,5,mid,-1,-0.1192955061841019
01109,2025,5,mid,-2,-0.5820765937181989
01109,2025,5,mid,-3,-0.9245034937405165
01113,2022,10,mid,-1,-0.5095407421842992
01113,2022,10,mid,-2,-1.035596316093475
01113,2022,10,mid,-3,-1.1932240889651098
01129,2022,6,mid,-1,-0.2205073937091555
01129,2022,6,mid,-2,-0.5284521329944596
01129,2022,6,mid,-3,-0.2933316149506595
01129,2023,4,mid,-1,-0.42790145714531036
