target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
48121,2022,6,1,40095,479653.18039867654,190102.66921553537
51125,2024,8,3,"51530,51678,51790",352813.2656591465,251866.42071871215
51095,2021,2,1,51735,353996.196836956,362666.7158398316
21145,2023,2,2,"47079,17069",165286.62795296995,146832.42849350325
13061,2021,4,1,13259,142386.19166840462,88927.71675779537
06041,2020,3,3,"06033,06045,06113",1144522.5123626518,420960.1895277
23013,2020,8,2,"23029,23023",266683.49541577965,193830.15940527478
51061,2020,7,1,51685,446492.70260923455,329982.5064627005
56007,2024,8,1,49009,192142.11454113852,311964.2533620643
21089,2023,7,2,"21063,21161",134270.8755999081,149065.30411282467
06045,2022,9,3,"06055,06041,06013",587692.0771884335,1099110.4921017366
04021,2021,10,3,"04012,04011,04027",365164.1604200776,222568.23121025486
51830,2020,11,1,51735,303678.43747845903,351215.4690559691
36111,2022,9,1,36087,371468.25673614745,617699.5852065778
48173,2020,4,1,48165,,191703.91624897148
18157,2020,6,1,18131,194311.86220281463,108452.2447432063
21009,2024,6,1,21213,201974.0132200128,247877.94071354475
47157,2020,7,1,28009,157792.3754851227,139808.69830571735
24005,2025,5,1,24035,356812.4169445044,515613.3387400822
18103,2020,8,2,"18131,18009",98370.17256848609,95447.7399640498
42123,2023,7,1,39007,124824.95376459842,149902.09903394335
29099,2022,6,1,29073,254315.20190662425,209000.451184208
17023,2025,5,1,17159,129094.29481102509,121307.09789643792
39145,2023,7,1,21161,117299.7996930956,145987.48949326467
29221,2021,7,1,29073,165609.18252395443,176832.71962217553
47035,2024,8,1,47137,307267.5998199551,222910.3151673624
01045,2024,4,2,"13239,13061",157776.42527572747,147680.46215208853
06067,2021,10,4,"06055,06033,06075,32510",513910.326464029,766709.0974386015
51179,2023,12,2,"51685,51683",503218.3973631559,444554.1104233805
48359,2020,6,1,48369,,124143.24094454618
53045,2025,2,7,"53029,53061,53055,53077,53033,53049,53041",449979.5534121893,611533.3099445775
53047,2021,7,9,"53029,53063,53065,53021,53037,53077,53005,53033,53001",275997.9745155899,418908.67721558845
21047,2020,7,2,"21143,21055",120140.15373616916,124275.12810186241
29149,2025,5,2,"29223,05065",169966.84554452007,148102.8252556711
06089,2024,12,1,41033,375196.31286416,392509.7007450149
25027,2022,12,2,"44001,50003",417773.0834828227,453531.6898005528
29089,2025,6,1,29137,217491.69114945992,202653.4324066115
48033,2021,10,1,48081,,162855.35833031198
38009,2023,7,2,"38095,38083",198330.95217585843,157744.3020216107
08103,2024,7,1,49009,307059.0298976291,312026.94789416395
27037,2021,9,5,"27019,27025,27141,27003,27171",357925.34009506024,356785.51133061043
18065,2020,7,2,"18009,18075",116825.76020316836,91200.70058458246
37013,2024,5,1,37177,221149.74487432415,169313.6266955074
19077,2023,6,1,19165,240528.5150652098,181948.24754800947
13077,2021,3,1,13231,287788.4462413018,264966.98463024857
18167,2022,4,3,"18119,17079,18171",130024.86422650063,176793.0161404493
18121,2022,8,2,"18157,18109",171882.7194577959,260635.0940257603
01023,2022,8,4,"01105,01107,01063,01131",155644.70981195045,147470.08831228619
35057,2022,5,1,35028,230566.6716971757,497180.80633508094
17065,2023,2,2,"17159,17069",131586.7915682318,115590.42496376304
47003,2022,5,1,47051,299565.9352951343,285221.9656741889
30029,2021,6,6,"30023,16017,30043,30059,16021,16049",486381.3520310653,331463.4405198106
20029,2020,6,2,"31067,31095",74868.78826784874,109134.80155085068
45013,2024,6,1,45005,540313.6888857036,81497.15461308853
16001,2022,8,3,"16025,16087,16037",554136.9553481509,378127.6524587223
41063,2024,7,6,"16035,53071,16087,53005,53021,41049",417517.7112488384,370336.73380068905
05049,2024,11,1,05137,184035.80244624935,198434.39269723184
18169,2022,8,1,18009,154455.6887365211,111246.87658007922
51015,2021,7,1,51540,295049.9188498057,419786.8051129685
20149,2023,9,1,31147,285793.93963542464,113633.42494465208
13001,2023,4,5,"13309,13271,13107,13283,13209",148020.81700727038,130277.93157495477
47139,2021,8,4,"13291,37113,37075,37043",199208.21619599688,254917.3007979885
21129,2021,7,1,21173,80474.4485119031,170012.78403480895
20121,2023,5,1,20209,330088.3952649741,181773.3680570825
17183,2022,7,2,"18157,18045",86994.91939402056,210091.6330801373
06073,2022,10,2,"04012,04027",878171.4561249111,261497.73971049127
20075,2021,6,1,08011,120047.9495012412,142378.53338207796
20129,2021,6,1,08011,103966.91400068272,142378.53338207796
27039,2024,7,1,27079,297092.7842364297,331812.09679435735
56037,2024,9,1,08107,274498.3888061202,1089251.711441737
32007,2020,7,7,"49005,32001,32017,32027,32031,16067,41025",278066.085238728,231952.02279136426
01083,2021,8,1,28141,274419.6759919788,165791.23889377955
13113,2021,3,1,13231,387745.34912126657,264966.98463024857
05013,2023,1,2,"05003,22067",131755.46203063804,103228.78287392252
22073,2021,9,1,22027,157206.19331326164,161504.79226588082
01033,2024,4,2,"28117,47071",189089.536035134,165878.0316035897
13321,2022,4,1,13037,158265.27722931537,110757.14208648849
05017,2024,6,5,"05107,05011,28027,05025,22065",118514.65552930288,94831.41517755859
51105,2021,12,2,"51720,51167",87510.70471807073,112623.75403015647
49055,2022,9,3,"49001,49047,49039",429900.4385509789,306699.3704196205
48073,2021,3,2,"48459,48455",188840.61537700423,173344.56013996317
13069,2021,4,3,"13279,13309,13209",145029.63824977167,127322.55653853517
30017,2022,7,1,30103,233274.6284715455,223906.47507673255
47073,2022,7,2,"51520,51167",209169.2597196948,140835.5305426614
08059,2021,9,1,08065,586206.6855119985,413479.3350601879
47007,2023,7,4,"47061,13313,13083,13047",217984.9614330096,228204.67518727697
21007,2025,1,5,"29143,29201,17087,17127,21139",138215.1558720928,141579.14723752678
40081,2021,11,1,40133,152641.02823124008,96491.77990861626
29055,2021,4,1,29179,166428.68026694126,140302.6693584358
12043,2024,10,1,12049,267086.66064456076,232930.87841485615
56031,2022,6,1,56007,244916.636657047,184564.20963647295
18133,2025,5,1,18023,259291.98791538816,212220.68458559224
16013,2021,9,1,16053,769619.3161485768,334146.29198495386
12031,2025,6,1,12007,296529.1692228939,242939.0827616721
05147,2023,8,3,"05111,05035,05107",96900.42435142733,116887.41190028294
28121,2022,5,3,"28065,28063,28077",236791.66397862104,143999.560243028
06105,2025,1,1,41033,260165.68643017803,392370.4145725177
39035,2022,7,1,39005,179698.9291005266,193944.4059864992
05043,2024,5,1,05107,153853.16262589212,54918.04377784582
17185,2023,3,1,17033,130011.33108346016,124649.30516926564
45077,2021,7,4,"37021,37087,37113,45059",223535.28404650965,288965.4974381266
48087,2024,5,1,40129,94903.25456801936,177254.98502932777
32005,2024,11,1,06109,675926.1744907456,400938.7838112025
17167,2023,7,1,17147,163133.54152424485,192925.40682982389
48427,2022,5,1,48489,170874.03711537586,237652.10145130393
13025,2025,6,1,13003,177627.89389888162,119631.64892282092
51119,2021,6,1,51735,297752.43150692363,378524.8246963981
45003,2025,4,1,13163,228707.01696751072,129349.98993401264
42099,2022,6,2,"42093,42087",261335.80133321727,199206.5313820515
40079,2025,5,1,05109,164544.57549261718,178420.90748967623
