target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
48121,2022,6,1,40095,744665.1710669129,386675.70376177545
51125,2024,8,3,"51530,51678,51790",617014.7131839101,384241.81161279
51095,2021,2,1,51735,514785.52735680266,508158.93575774546
21145,2023,2,2,"47079,17069",296899.5671513673,280747.75511375704
13061,2021,4,1,13259,297515.6877280969,209634.2091434515
06041,2020,3,3,"06033,06045,06113",2072478.323095681,650790.514495727
23013,2020,8,1,23029,473893.6593735263,231599.30269402193
51061,2020,7,1,51685,656828.5818091767,426989.6517438165
56007,2024,8,1,49009,345376.4580650649,489747.5619919502
21089,2023,7,2,"21063,21161",230267.82032103787,287773.3652476169
06045,2022,9,3,"06055,06041,06013",909562.999588329,2014670.2759131324
04021,2021,10,3,"04012,04011,04027",492443.1732064442,392346.36437715153
51830,2020,11,1,51735,502574.845247112,492050.6181049291
36111,2022,9,1,36087,594296.3886173343,856354.3971249416
48173,2020,4,1,48165,,298782.445797286
18157,2020,6,1,18131,307955.3385866299,188977.83546170767
21009,2024,6,1,21213,336374.023114129,379916.4666778007
47157,2020,7,1,28009,309469.08984502684,221467.916659856
24005,2025,5,1,24035,570883.6720004315,819248.5886973249
18103,2020,8,2,"18131,18009",185732.9409402369,175023.0265705703
42123,2023,7,1,39007,219753.7718408841,255158.40748442803
29099,2022,6,1,29073,376239.0046554335,430809.2595632179
17023,2025,5,1,17159,243102.11680935897,215925.83906872405
39145,2023,7,1,21161,217384.8851923443,289733.44192608935
29221,2021,7,1,29073,273521.5768046134,366332.64821272297
47035,2024,8,1,47137,490459.817879176,397729.0830977228
01045,2024,4,2,"13239,13061",267878.7888574051,312266.10483265115
06067,2021,10,4,"06055,06033,06075,32510",709529.8055062979,1276009.2221014514
51179,2023,12,2,"51685,51683",666083.2481541039,583992.6070840986
48359,2020,6,1,48369,,239598.7539987878
53045,2025,2,7,"53029,53061,53055,53077,53033,53049,53041",687962.0560365673,989264.0486079187
53047,2021,7,9,"53029,53063,53065,53021,53037,53077,53005,53033,53001",528327.6968723305,666967.5920099422
21047,2020,7,2,"21143,21055",210489.05448923,247424.7844618734
29149,2025,5,2,"29223,05065",317055.64678951865,265357.43767441856
06089,2024,12,1,41033,525213.3283947376,553268.7841616372
25027,2022,12,2,"44001,50003",610750.6250384628,806579.142315825
29089,2025,6,1,29137,442198.3659442367,407880.87871111743
48033,2021,10,1,48081,,342696.9037600068
38009,2023,7,2,"38095,38083",412846.1480621963,320834.3274497518
08103,2024,7,1,49009,584255.0643524871,489890.9548908171
27037,2021,9,5,"27019,27025,27141,27003,27171",508388.72017049947,507266.3326139979
18065,2020,7,2,"18009,18075",207236.20665343237,187021.7540035621
