target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
36105,2022,7,2,"36087,36079",158739.44916738753,377741.1525081249
42037,2022,7,3,"42077,42025,42043",140862.57807107398,160946.3335998426
18027,2025,6,3,"18025,17185,18123",124476.80883555488,91582.0726249154
17039,2023,4,1,17173,66653.72719599873,77616.94487697346
13183,2025,8,1,13109,213570.1396557622,81735.6480182509
01059,2024,4,3,"28117,47071,28003",114935.332648209,95871.0867962857
51181,2025,7,2,"51830,51670",176085.2310132843,207482.5066146098
37013,2023,5,1,37177,101739.58956451844,79806.17627731756
24013,2022,8,1,42043,320294.3736206434,137763.77809807635
17193,2020,5,1,17121,60786.30441652605,61007.453749076805
16085,2023,5,3,"16035,16075,41063",366135.7255271093,241029.95439998852
01093,2024,7,2,"28117,28017",87897.650587547,87686.34657073376
08035,2022,7,3,"08019,08047,08093",603394.7438734559,360677.17913152644
47185,2022,2,1,47087,153033.96529745712,108038.6533601265
42081,2024,6,1,42023,141049.56649882227,41289.20076650636
49035,2021,5,1,49039,348906.5028219975,181284.71598552517
48147,2023,6,1,40005,144875.39856280098,92650.22280648709
47151,2025,5,5,"21199,21125,21053,21235,47173",98057.0595014929,114581.5058299738
40015,2022,6,2,"40043,40093",45877.54287114643,69076.44875191238
42053,2023,7,2,"42039,42049",64261.62543573181,96642.1361294536
37009,2021,7,1,47163,176687.24836277115,117284.75969790218
28029,2021,8,3,"28113,28147,28005",67587.3974262124,86039.8332538118
17095,2020,4,1,17169,43048.26744722114,75686.99380539496
23013,2021,6,1,23023,203043.79883447711,214075.07285673296
13003,2024,5,1,13271,63324.27040086518,59752.32025141574
48455,2020,5,1,48313,77166.51688081992,81006.56242720214
51167,2025,1,1,21133,64246.94621600051,46312.272352964086
48337,2022,2,1,40095,130857.51322458246,97718.39045180756
48309,2022,4,2,"48425,48143",149313.49085795786,203281.72501716643
49003,2021,8,4,"16053,32013,16007,16041",294827.3446011445,211595.30067962554
20019,2024,9,1,40103,38092.32591803209,69654.05793401982
41047,2020,9,1,41027,261608.6196148795,356074.2412075615
13273,2021,5,2,"13249,13259",36483.30232077682,65732.95066281188
18177,2020,4,1,18075,60593.271007673226,52485.582323359886
28003,2020,9,1,28009,84752.7214030501,89143.15036480433
01069,2022,5,1,01039,94591.32567760925,78179.49891756562
37085,2025,7,1,37141,182367.79120431663,277881.5640667927
54013,2024,7,1,54073,50414.45942365565,98840.62149403935
51017,2022,6,1,51678,109239.30201007314,183215.89172162508
16017,2020,5,3,"16009,16035,30061",244271.9073953426,119871.94657219561
