target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
36105,2022,7,2,"36087,36079",269966.33507016604,538000.4532375318
42037,2022,7,3,"42077,42025,42043",225197.4973764844,257113.73657534248
18027,2025,6,3,"18025,17185,18123",219435.93884801283,154230.71426713382
17039,2023,4,1,17173,117755.1747276914,140290.68118902636
13183,2025,8,1,13109,275579.3094265591,164469.84341544495
01059,2024,4,3,"28117,47071,28003",184681.2533183523,164720.79553250433
48451,2022,7,2,"48435,48267",217643.2453124003,265522.15477722615
51181,2025,7,2,"51830,51670",274979.5388672883,305663.5561893285
37013,2023,5,1,37177,206920.96035730283,168417.52354674463
24013,2022,8,1,42043,446229.4423074944,232229.6019787686
17193,2020,5,1,17121,112476.86758154978,86714.70664923829
16085,2023,5,3,"16035,16075,41063",629144.2517631134,358995.5019443168
01093,2024,7,2,"28117,28017",161001.0971442136,138605.69008871226
08035,2022,7,3,"08019,08047,08093",768706.6878672261,564245.7609959958
47185,2022,2,1,47087,235427.19528383008,194127.7841272899
42081,2024,6,1,42023,214643.07735648067,81972.34478556023
49035,2021,5,1,49039,473293.8956725634,276546.63249418087
48147,2023,6,1,40005,277414.51248351176,188690.462831664
48235,2022,3,3,"48461,48435,48081",271619.3020955175,164821.77165418572
47151,2025,5,5,"21199,21125,21053,21235,47173",183779.8432266677,195745.97215301372
40015,2022,6,2,"40043,40093",102802.61834295244,142108.08449533518
42053,2023,7,2,"42039,42049",118870.27407993864,167249.16527272022
37009,2021,7,1,47163,303992.0625263704,190029.73327413807
28029,2021,8,3,"28113,28147,28005",122233.99909065868,144452.15443114704
17095,2020,4,1,17169,88160.72459988097,111499.36086931427
23013,2021,6,1,23023,331106.7700447249,318929.40384797845
13003,2024,5,1,13271,128759.65650109648,118969.3818947436
48455,2020,5,1,48313,140626.61412854822,177795.58190307007
51167,2025,1,1,21133,137781.14956728872,91653.16499945318
48337,2022,2,1,40095,250268.083424081,180424.51125866457
48309,2022,4,2,"48425,48143",250236.90984937423,339680.98708555056
49003,2021,8,4,"16053,32013,16007,16041",385424.6806676882,331391.97188726754
29177,2022,3,1,29041,215672.4674932299,239143.08932634752
20019,2024,9,1,40103,98857.76968939137,143797.2196527983
41047,2020,9,1,41027,331920.2538190921,503917.88962999376
13273,2021,5,3,"13197,13249,13259",87569.54424632453,134490.84714845507
18177,2020,4,1,18075,105572.90385483213,99531.60439401702
28003,2020,9,1,28009,139594.12562229473,146893.95474139592
01069,2022,5,2,"13037,01039",168986.4840607191,129697.86610709515
37085,2025,7,1,37141,290818.28745162796,438547.9611749267
54013,2024,7,1,54073,99818.58012927056,157740.96924157187
51017,2022,6,1,51678,203311.4302626615,298643.45882572705
16017,2020,5,3,"16009,16035,30061",383137.5892487211,203057.52393717403
36021,2022,12,1,36071,410478.0240207789,391382.47882037103
45073,2022,9,3,"13195,13011,13281",260306.66088335335,322782.27104473027
48221,2023,5,1,48193,375350.98670669383,249938.71249100528
54053,2023,2,1,54105,129439.8416550458,110421.19770311555
17073,2022,5,1,17071,133069.46564098343,121788.13114036452
16053,2020,5,1,16025,245902.549740647,297036.0399542785
27127,2022,10,6,"27063,27117,27103,27081,27133,27105",157261.71560947198,201474.6778489092
28129,2024,6,2,"28111,28077",161936.01179653205,142221.55340175735
31101,2025,5,3,"31171,08115,31047",221023.6324424027,187941.45076424233
