target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
36105,2022,7,2,"36087,36079",458156.7303635433,756698.5196992363
42037,2022,7,3,"42077,42025,42043",368214.78886321926,407237.49033356033
18027,2025,6,3,"18025,17185,18123",386765.4205412777,261060.61347656362
17039,2023,4,1,17173,229315.87099681864,278785.938044451
13183,2025,8,1,13109,342112.107888251,309868.4881282565
01059,2024,4,3,"28117,47071,28003",291339.45279844006,289958.7193134769
48451,2022,7,2,"48435,48267",361397.98348165554,608090.8892704254
51181,2025,7,2,"51830,51670",424355.776262115,464689.233745857
37013,2023,5,1,37177,379182.11572215334,312144.6775505156
24013,2022,8,1,42043,643655.1852840092,383633.7405525846
17193,2020,5,1,17121,171412.19264856286,152394.52573314705
16085,2023,5,3,"16035,16075,41063",1125307.7440370622,605786.8525705856
01093,2024,7,2,"28117,28017",274359.7881395307,237980.96496949723
08035,2022,7,3,"08019,08047,08093",1072197.4735749343,857537.411380773
47185,2022,2,1,47087,404774.6152311076,369162.5815599954
42081,2024,6,1,42023,336215.9575898281,154620.7189612849
49035,2021,5,1,49039,702830.0424967674,450301.5554769726
48147,2023,6,1,40005,555116.8027372817,363613.4066880499
48235,2022,3,3,"48461,48435,48081",584263.4970298903,302720.7224208375
47151,2025,5,5,"21199,21125,21053,21235,47173",312726.792585327,321423.31260720524
40015,2022,6,2,"40043,40093",231351.66686852768,352677.14169694146
42053,2023,7,2,"42039,42049",260687.06905607288,287071.6275736467
37009,2021,7,1,47163,520140.38656389667,315783.4198984653
28029,2021,8,4,"28113,28147,28005,22107",236366.6836805299,283062.8228546649
17095,2020,4,1,17169,177330.44683955912,258246.48551699205
23013,2021,6,1,23023,593029.842426967,499504.9381749949
13003,2024,5,1,13271,265803.76712355926,241513.47501464467
48455,2020,5,1,48313,263360.09302055254,376663.5095569112
51167,2025,1,1,21133,245891.51378699625,169023.651055201
48337,2022,2,1,40095,505240.45175400167,360584.4452524609
48309,2022,4,2,"48425,48143",416969.4162350234,653193.586443727
49003,2021,8,4,"16053,32013,16007,16041",541695.4875259626,535213.2943557891
29177,2022,3,1,29041,376601.03899606614,290799.17891865724
20019,2024,9,1,40103,306030.6672269145,324292.9457897458
41047,2020,9,1,41027,460901.21996457706,761465.5874678027
13273,2021,5,3,"13197,13249,13259",218490.41450961225,263372.670651875
18177,2020,4,1,18075,186897.81575798243,213453.7707383573
28003,2020,9,1,28009,232511.38446690468,229416.0990257154
01069,2022,5,2,"13037,01039",297732.3129315605,264716.11798355624
37085,2025,7,1,37141,407489.53024274,721800.6838104996
54013,2024,7,1,54073,183252.8015797903,257598.0334097074
