stcofips,year,month,tier,month_t,deviation
01011,2024,8,mid,-1,0.5034540147633919
01011,2024,8,mid,-2,0.176282824847263
01011,2024,8,mid,-3,-1.2772310648074239
01011,2024,8,mid,-4,-2.4786544794318672
01011,2024,8,mid,-5,-3.2060536776132977
01011,2024,8,mid,-6,-3.1927992347337266
01011,2025,5,mid,-1,0.6102833507380296
01011,2025,5,mid,-2,0.6206334285741946
01011,2025,5,mid,-3,0.03884483669914118
01011,2025,5,mid,-4,-0.4659344124276714
01011,2025,5,mid,-5,-0.9699485478572001
01011,2025,5,mid,-6,-1.4801332019186475
01021,2023,6,mid,-1,-0.02812138335653458
01021,2023,6,mid,-2,0.391272192212341
01021,2023,6,mid,-3,0.4739700720609932
01021,2023,6,mid,-4,0.8138740586183104
01021,2023,6,mid,-5,1.1723162450019657
01021,2023,6,mid,-6,1.5824825300176997
01023,2024,5,mid,-1,-0.20231564836414861
01023,2024,5,mid,-2,0.34007714333871775
01023,2024,5,mid,-3,1.450491249032737
01023,2024,5,mid,-4,2.943795042288599
01023,2024,5,mid,-5,3.5945304419999644
01023,2024,5,mid,-6,3.759447443564099
01025,2023,4,mid,-1,-0.3450623493873053
01025,2023,4,mid,-2,-0.9015124493085409
01025,2023,4,mid,-3,-1.2156347335407105
01025,2023,4,mid,-4,-1.6546065180637015
01025,2023,4,mid,-5,-1.41003608803301
01025,2023,4,mid,-6,-0.8333254285160194
01027,2022,5,mid,-1,0.9311292182462836
01027,2022,5,mid,-2,2.7245527199734596
01027,2022,5,mid,-3,5.7767954085773
01027,2022,5,mid,-4,8.474668700054494
01027,2022,5,mid,-5,10.348929496060023
01027,2022,5,mid,-6,10.801078943507733
01029,2022,6,mid,-1,-0.09373393415314979
01029,2022,6,mid,-2,-0.3306096095901978
01029,2022,6,mid,-3,-0.1663784099142731
01029,2022,6,mid,-4,1.6506881199378398
01029,2022,6,mid,-5,3.740401085797913
01029,2022,6,mid,-6,5.33744362744811
01029,2023,8,mid,-1,-0.22412678884076342
01029,2023,8,mid,-2,-0.22315940516264732
01029,2023,8,mid,-3,-0.45542797555525283
01029,2023,8,mid,-4,-0.26022320033565904
01029,2023,8,mid,-5,0.27560163134035065
01029,2023,8,mid,-6,0.8245959406229133
01035,2024,5,mid,-1,-0.007615890430770378
01035,2024,5,mid,-2,-0.2235352281495011
01035,2024,5,mid,-3,-0.42828506102030417
01035,2024,5,mid,-4,-1.197513442576323
01035,2024,5,mid,-5,-1.4634521563297511
01035,2024,5,mid,-6,-0.9693614028225994
01035,2024,12,mid,-1,0.8361142548685763
01035,2024,12,mid,-2,2.0666573773402916
01035,2024,12,mid,-3,3.3607668874013967
01035,2024,12,mid,-4,3.4319343226421495
01035,2024,12,mid,-5,2.6836091349553186
01035,2024,12,mid,-6,2.083055415616542
01039,2023,4,mid,-1,-0.5801642566638918
01039,2023,4,mid,-2,-0.7589010814925103
01039,2023,4,mid,-3,-0.06041271229933898
01039,2023,4,mid,-4,0.8855487200723076
01039,2023,4,mid,-5,1.435100561066065
01039,2023,4,mid,-6,1.173496478868259
01039,2024,5,mid,-1,-0.41468405982487866
01039,2024,5,mid,-2,-0.47643755440900293
01039,2024,5,mid,-3,-0.5078200092819571
01039,2024,5,mid,-4,-1.5417702500689217
01039,2024,5,mid,-5,-2.7073003775600313
01039,2024,5,mid,-6,-3.3886217400108762
01041,2023,4,mid,-1,-0.2097147461833515
01041,2023,4,mid,-2,0.09052311324934692
01041,2023,4,mid,-3,0.37698970511446817
01041,2023,4,mid,-4,0.8178472568826294
01041,2023,4,mid,-5,0.8735052222369575
01041,2023,4,mid,-6,1.0448324049731355
01041,2025,8,mid,-1,-1.4319438192515292
01041,2025,8,mid,-2,-2.669909150713295
01041,2025,8,mid,-3,-3.158124974751189
01041,2025,8,mid,-4,-3.317886074537313
01041,2025,8,mid,-5,-2.8329051566865786
01041,2025,8,mid,-6,-2.6262816018994073
01047,2023,6,mid,-1,1.1475946678049667
01047,2023,6,mid,-2,1.4943856183180202
01047,2023,6,mid,-3,1.4943309338576967
01047,2023,6,mid,-4,0.9632096049006549
01047,2023,6,mid,-5,0.9600482819226102
01047,2023,6,mid,-6,0.5279980984059591
01049,2023,7,mid,-1,0.3270048932390779
01049,2023,7,mid,-2,0.16780864181794186
01049,2023,7,mid,-3,0.21922536512943225
01049,2023,7,mid,-4,0.10213304077619512
01049,2023,7,mid,-5,-0.26093222114255354
01049,2023,7,mid,-6,-1.103065932909189
01053,2023,4,mid,-1,0.07500517326099043
01053,2023,4,mid,-2,0.05429783895476703
01053,2023,4,mid,-3,-0.3581039942497597
01053,2023,4,mid,-4,-0.9388524656606876
01053,2023,4,mid,-5,-1.5805715583902469
01053,2023,4,mid,-6,-2.3122034521852015
01057,2022,2,mid,-1,0.43738162299749206
01057,2022,2,mid,-2,0.38490263347502207
01057,2022,2,mid,-3,-0.09304686046326083
01057,2022,2,mid,-4,-0.3945405088181957
01057,2022,2,mid,-5,-0.19455176724248702
01057,2022,2,mid,-6,1.2793737919700163
01063,2023,6,mid,-1,0.3840309003664686
01063,2023,6,mid,-2,0.6274131275608283
01063,2023,6,mid,-3,0.999124055008167
01063,2023,6,mid,-4,1.7926424159924181
01063,2023,6,mid,-5,2.488345928838342
01063,2023,6,mid,-6,1.9747216868997413
01085,2023,6,mid,-1,-0.40063863187702964
01085,2023,6,mid,-2,-0.23065772732590517
01085,2023,6,mid,-3,0.7135896117391383
01085,2023,6,mid,-4,1.3161713042712222
01085,2023,6,mid,-5,2.0288892132106326
01085,2023,6,mid,-6,2.8197716674625326
01091,2023,6,mid,-1,0.33955010204458347
01091,2023,6,mid,-2,0.304565062210699
01091,2023,6,mid,-3,-0.11498475528087226
01091,2023,6,mid,-4,-1.7418247420548454
01091,2023,6,mid,-5,-3.17345826332415
01091,2023,6,mid,-6,-4.820870642912794
01105,2023,6,mid,-1,0.6834837829048723
01105,2023,6,mid,-2,1.7271555208638603
01105,2023,6,mid,-3,1.951285536451664
01105,2023,6,mid,-4,1.8468851891984315
01105,2023,6,mid,-5,1.5665423206053362
01105,2023,6,mid,-6,1.5275261524632384
01109,2025,5,mid,-1,-0.049799974266548475
01109,2025,5,mid,-2,-0.7285016243764346
01109,2025,5,mid,-3,-1.529538968158306
01109,2025,5,mid,-4,-2.5240264653048854
01109,2025,5,mid,-5,-3.8970887548420023
01109,2025,5,mid,-6,-5.176080532824244
01129,2023,4,mid,-1,-0.4322735690923025
01129,2023,4,mid,-2,-1.1627680258314825
01129,2023,4,mid,-3,-1.3284143539816853
01129,2023,4,mid,-4,-1.85844622567582
01129,2023,4,mid,-5,-1.9754343971686268
01129,2023,4,mid,-6,-1.842566777987173
01129,2024,5,mid,-1,-0.15092574494194366
01129,2024,5,mid,-2,-0.09207134005870898
01129,2024,5,mid,-3,1.054037839668439
01129,2024,5,mid,-4,2.8964908987146174
01129,2024,5,mid,-5,3.7335653860149307
01129,2024,5,mid,-6,3.273916469946073
01133,2022,2,mid,-1,-0.9302786445809375
01133,2022,2,mid,-2,-1.5648001984626347
01133,2022,2,mid,-3,-1.61332265241262
01133,2022,2,mid,-4,-1.2852723168166733
01133,2022,2,mid,-5,0.195154409381189
01133,2022,2,mid,-6,2.760078618127949
04001,2020,7,mid,-1,-0.6731504878345334
04001,2020,7,mid,-2,-0.9617860758989423
04001,2020,7,mid,-3,-1.1428567009923114
04001,2020,7,mid,-4,-0.618371326879597
04001,2020,7,mid,-5,-0.11929555258389257
04001,2020,7,mid,-6,0.5663321744005003
04001,2022,8,mid,-1,0.5626476627606394
04001,2022,8,mid,-2,0.8936693706975518
04001,2022,8,mid,-3,1.0411126001397122
04001,2022,8,mid,-4,1.2299568916188974
04001,2022,8,mid,-5,1.3782514563445147
04001,2022,8,mid,-6,1.479402767386219
04003,2024,9,mid,-1,0.7686292011230762
04003,2024,9,mid,-2,1.1375454956968838
04003,2024,9,mid,-3,1.085954216859335
04003,2024,9,mid,-4,0.6101554280201498
04003,2024,9,mid,-5,0.4795838484943431
04003,2024,9,mid,-6,0.5340151612804078
04009,2021,9,mid,-1,0.1298987758461152
04009,2021,9,mid,-2,0.40989670260793787
04009,2021,9,mid,-3,0.9158054204432631
04009,2021,9,mid,-4,1.6245702761961098
04009,2021,9,mid,-5,2.344617917033105
04009,2021,9,mid,-6,2.8576587441792043
04011,2023,9,mid,-1,0.5954719696758133
04011,2023,9,mid,-2,2.083476752743266
04011,2023,9,mid,-3,4.348148655848519
04011,2023,9,mid,-4,6.570834189858289
04011,2023,9,mid,-5,7.065009416839885
04011,2023,9,mid,-6,6.006853937200091
04017,2022,8,mid,-1,-0.26139646334796396
04017,2022,8,mid,-2,-0.5123316285954189
04017,2022,8,mid,-3,-0.6958721193800272
04017,2022,8,mid,-4,-1.3080059793288257
04017,2022,8,mid,-5,-1.9265641672626401
04017,2022,8,mid,-6,-2.331765150308499
04017,2023,8,mid,-1,-0.5509300064937861
04017,2023,8,mid,-2,-1.171004431608111
04017,2023,8,mid,-3,-1.295330718641111
04017,2023,8,mid,-4,-0.7222074387191384
04017,2023,8,mid,-5,0.1844919153372757
04017,2023,8,mid,-6,0.9256093927221514
04019,2021,9,mid,-1,-0.8255631996269841
04019,2021,9,mid,-2,-1.180860028613921
04019,2021,9,mid,-3,-1.3034094874100077
04019,2021,9,mid,-4,-1.4245415962880656
04019,2021,9,mid,-5,-1.7560899929197689
04019,2021,9,mid,-6,-2.020331044664701
04023,2021,9,mid,-1,-0.5582622880459525
04023,2021,9,mid,-2,-0.8802643555805361
04023,2021,9,mid,-3,-0.8946575385525506
04023,2021,9,mid,-4,-0.8489975758632937
04023,2021,9,mid,-5,-0.7127953837634493
04023,2021,9,mid,-6,-0.6755697644376113
04023,2024,12,mid,-1,-0.5924764197574461
04023,2024,12,mid,-2,-1.2299543819846406
04023,2024,12,mid,-3,-1.6612195937242547
04023,2024,12,mid,-4,-1.8411246919440174
04023,2024,12,mid,-5,-1.7016864124719007
04023,2024,12,mid,-6,-1.3557093047072613
05003,2022,7,mid,-1,-0.5421150441125917
05003,2022,7,mid,-2,-0.13519251630162898
05003,2022,7,mid,-3,0.7323663078689151
05003,2022,7,mid,-4,1.7944591336086688
05003,2022,7,mid,-5,2.7309497809114305
05003,2022,7,mid,-6,3.1615642446815997
05009,2025,7,mid,-1,0.34298098580133285
05009,2025,7,mid,-2,0.5403443361111897
05009,2025,7,mid,-3,0.6061438071917991
05009,2025,7,mid,-4,0.47583268959542124
05009,2025,7,mid,-5,0.12752915907145734
05009,2025,7,mid,-6,-0.4650849436053335
05023,2024,10,mid,-1,-0.29580498459380067
05023,2024,10,mid,-2,-0.7059419268807545
05023,2024,10,mid,-3,-0.6232326926767371
05023,2024,10,mid,-4,-0.29388781788900076
05023,2024,10,mid,-5,0.18700975242295215
05023,2024,10,mid,-6,0.7033274180287066
05029,2025,8,mid,-1,0.5401483583068654
05029,2025,8,mid,-2,0.2883862620257247
05029,2025,8,mid,-3,-0.25332617718353845
05029,2025,8,mid,-4,-0.875771103824107
05029,2025,8,mid,-5,-0.8560097365604094
05029,2025,8,mid,-6,-0.6570855938239788
05031,2023,8,mid,-1,-0.6573422547269416
05031,2023,8,mid,-2,-0.9270029593523219
05031,2023,8,mid,-3,-0.8995734601711831
05031,2023,8,mid,-4,-0.44318141887244167
05031,2023,8,mid,-5,-0.026073733703498192
05031,2023,8,mid,-6,0.08243205586798297
05035,2022,5,mid,-1,-0.09654851569388256
05035,2022,5,mid,-2,-0.7723853147722366
05035,2022,5,mid,-3,-1.8979490125775413
05035,2022,5,mid,-4,-3.816314402804906
05035,2022,5,mid,-5,-5.556529114079879
05035,2022,5,mid,-6,-6.637009057471005
05037,2023,8,mid,-1,0.7632727134348585
05037,2023,8,mid,-2,1.2513318063044352
05037,2023,8,mid,-3,1.63424965426519
05037,2023,8,mid,-4,1.8467362688434577
05037,2023,8,mid,-5,1.297038776814972
05037,2023,8,mid,-6,0.2341897366057708
05039,2024,4,mid,-1,0.00652346790525371
05039,2024,4,mid,-2,1.262493632180039
05039,2024,4,mid,-3,3.5928882080982305
05039,2024,4,mid,-4,5.697158806223641
05039,2024,4,mid,-5,7.34599013655793
05039,2024,4,mid,-6,8.639426309864263
05043,2025,7,mid,-1,-0.4089283183701298
