target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
47189,2021,2,47,"13265,47105,13317,13209,37199,47095,13263,13161,37113,13259,13023,13283,37137,13281,13231,37181,13021,37121,47171,13037,13309,13279,37087,47183,13197,28027,37043,28045,13301,13031,13227,12037,47163,13249,37099,28009,28147,13171,12055,47137,45011,12015,28135,37075,13053,28005,12027",519252.7330260828,321505.0971689884
06041,2020,3,31,"06015,35017,06101,06031,06069,06045,06011,06033,32019,35031,06099,06051,35006,32001,06049,32031,32005,32029,32033,06095,32011,32017,06021,06093,06083,06111,06079,35003,32027,06113,32021",2072478.323095681,517130.4227177695
23013,2020,8,3,"23029,44001,50017",473893.6593735263,435565.7684891555
40135,2021,4,29,"48461,22077,05035,48287,22003,48047,22093,22027,48247,05123,22047,48283,48483,40029,22007,40003,48459,48163,40033,05101,48119,40103,22125,48507,22121,48455,48379,22091,22107",234100.2574873058,296796.70359045843
51061,2020,7,20,"21223,21055,21143,21063,51600,51520,51195,21159,51610,51720,51840,18009,51735,18131,18075,21027,18135,51685,21005,21221",656828.5818091767,320342.679203514
12005,2020,9,23,"13161,37113,47153,13283,13281,37121,37095,13309,12017,47183,47033,28027,37043,28109,13235,13301,28009,12055,47137,37079,37075,28005,12027",401949.2599326765,282962.070846187
12109,2020,9,23,"13161,37113,47153,13283,13281,37121,37095,13309,12017,47183,47033,28027,37043,28109,13235,13301,28009,12055,47137,37079,37075,28005,12027",532765.6379140365,282962.070846187
21089,2023,7,43,"51183,18181,54059,21161,51045,42039,39085,51119,42049,21063,51660,51095,39103,54045,39151,51520,39161,21201,51620,39173,39093,39153,51199,42093,51036,54105,51750,51720,51830,51735,51530,51021,39035,39123,39169,18131,54093,18103,51595,39143,54109,51685,39007",230267.82032103787,348661.01187346433
45077,2024,8,37,"12115,28063,13225,13175,13283,13281,13163,37011,13307,13101,45033,12017,13271,37005,47069,12125,28077,13301,28037,13219,13125,13193,13249,28147,13061,47137,13143,28111,13315,28139,12119,13053,13013,13087,12049,12041,12027",480091.61619642394,387231.41386562714
06045,2022,9,27,"06053,06069,06081,04027,06025,32019,35028,06097,35023,06087,32510,04012,32001,06049,06075,06013,06055,06091,04023,32005,04011,32029,35041,06079,06041,32027,06085",909562.999588329,1096728.4521883214
04021,2021,10,18,"32510,32029,04012,06069,32001,06045,04027,06025,06033,35028,06079,32027,06075,06021,06013,06055,06085,04011",492443.1732064442,918117.5377595539
48199,2022,1,46,"40093,22057,22101,48093,05037,48333,48081,48115,48197,22021,48015,48267,22093,22081,48457,48247,05123,22047,48239,40095,48373,48013,22067,22037,48143,48377,22007,40003,40043,48425,40133,48241,48217,48275,48435,48471,22125,48321,22121,48057,40075,48185,48127,05077,22091,22083",346084.10002804484,375537.3535960584
51830,2020,11,22,"21039,21115,18121,51580,21143,51600,51820,51520,21001,21201,21173,18115,18107,21119,51720,18171,18009,51735,39143,21233,51685,21163",502574.845247112,272690.71652179013
29023,2024,6,76,"29101,17199,27065,31171,29033,31011,17017,29173,31017,19093,29211,29083,27031,17069,27079,27087,29075,17059,38089,31095,31173,38065,27009,29079,38093,31121,20097,38031,20107,38083,17003,20083,19145,31167,27071,31097,27173,38095,27127,38045,27091,27041,31071,27023,29061,27149,31085,29175,31073,27121,29089,31115,17145,19069,17013,17033,31053,31039,20123,29053,17123,17151,29107,29041,29003,31091,27073,29157,38099,29129,27029,27125,20141,17005,27095,19151",263559.5499845788,367705.74106896704
27109,2025,4,79,"17199,31035,29137,20133,31121,17003,19105,19101,31047,31167,38063,19055,31169,29061,31137,31129,20123,29025,31019,29111,31083,29223,31163,19087,29073,31001,19185,31065,20163,31175,19107,31125,17059,27155,17153,17185,29143,19007,31179,29199,19183,20043,27065,31093,31079,31099,31173,17081,31081,29151,17155,29063,29017,31073,17127,19115,20147,17123,17085,19097,29157,31143,31171,19045,19117,19051,31061,17159,20089,31181,31185,17087,31059,17009,17151,20183,31077,19047,20141",540512.5632835579,355422.44397782313
36111,2022,9,10,"25007,36061,25019,34019,36047,36005,36071,50023,34021,36087",594296.3886173343,1807813.1365314275
48173,2020,4,20,"22091,22077,48285,48047,48333,48243,22093,48165,48247,22037,48095,48425,48369,48435,48481,48141,48507,48321,48017,48313",,326011.23122390447
18157,2020,6,17,"18131,21223,21055,18075,51610,21063,51600,51720,51840,51685,51195,18009,51735,21005,51520,21221,21159",307955.3385866299,335783.3103883239
21009,2024,6,50,"54073,21055,21181,18111,51640,18181,42023,18149,39021,18059,39085,18045,21139,21219,51570,51580,51678,51600,51660,21061,39103,39003,39151,21201,21225,42057,21033,51683,39173,18115,21097,51840,42055,51735,51530,18173,21023,39123,39169,21183,54093,51790,21233,21213,51670,51063,51685,51630,42131,39007",336374.023114129,374607.49533309805
47089,2021,12,58,"13195,13317,28091,28063,37199,45043,13259,13281,13005,37121,28065,13307,45033,13037,47005,13309,37095,47053,13111,13133,47033,28057,13157,13147,28027,13059,47039,47111,28077,28045,13011,13301,01107,45089,28037,13257,13219,13247,13125,28137,01039,47087,37141,47027,47017,47097,47083,47109,28013,28141,13149,13291,28139,13233,13221,13053,13013,12027",486978.3628339867,368110.1970088051
21239,2022,5,27,"42077,42087,42095,51740,18119,51678,42025,51600,51660,51520,21189,51540,42093,51610,42043,51775,51720,18171,51735,18157,18109,51595,51167,39005,18021,18159,54009",519431.7278130969,427629.88960795285
47157,2020,7,13,"28009,12055,12027,13081,13283,45089,13271,13017,13161,13125,13059,13281,37121",309469.08984502684,251783.9417793083
21177,2023,9,28,"51183,18111,18181,21161,39085,51119,21063,51660,39103,39151,51520,21201,51620,39173,51199,51036,51720,51830,51735,51530,39039,39123,39169,18131,54093,51595,51685,39007",229377.35152813388,372506.1976957925
20057,2022,7,60,"46101,19185,29033,29135,19027,46077,19093,46023,19025,17069,27103,27155,46027,17071,19041,29151,46135,19101,27101,46125,19021,27133,27033,19035,19167,46067,19193,27105,27081,29117,17013,19149,27117,19183,31051,29197,19115,19197,46099,19073,46005,46015,19059,27063,29177,20013,46009,46079,31091,19119,19143,46127,46087,31147,19141,19087,46035,27083,46083,31043",269379.2002110599,392313.65168701136
