stcofips,year,month,tier,month_t,deviation
01129,2023,4,mid,-3,-0.5324522113322843
01129,2025,5,mid,-1,0.7711330612657008
01129,2025,5,mid,-2,1.3834643895950194
01129,2025,5,mid,-3,1.286640039942668
01131,2021,10,mid,-1,0.1948678154251411
01131,2021,10,mid,-2,0.2624166862063504
01131,2021,10,mid,-3,-0.12387779141630517
01131,2024,8,mid,-1,-0.0048257771546076356
01131,2024,8,mid,-2,0.4876662921831354
01131,2024,8,mid,-3,0.8687062411669331
01133,2022,2,mid,-1,1.0086166559271703
01133,2022,2,mid,-2,1.7121593124680743
01133,2022,2,mid,-3,2.275456523658235
04001,2020,7,mid,-1,-0.711530250495656
04001,2020,7,mid,-2,-1.119185644882137
04001,2020,7,mid,-3,-1.399327337010888
04001,2023,8,mid,-1,-0.07016230553175262
04001,2023,8,mid,-2,-0.3825661206901998
04001,2023,8,mid,-3,-0.8521646591994738
04003,2024,9,mid,-1,0.37451528701961934
04003,2024,9,mid,-2,0.694348145987874
04003,2024,9,mid,-3,0.9362922783857499
04009,2021,9,mid,-1,-0.32884921754026664
04009,2021,9,mid,-2,-0.546618057332168
04009,2021,9,mid,-3,-0.48096380220000867
04009,2023,11,mid,-1,0.011870518158502819
04009,2023,11,mid,-2,0.21849735457936958
04009,2023,11,mid,-3,0.5148678159590219
04011,2023,9,mid,-1,0.7492861490943596
04011,2023,9,mid,-2,2.400663963121332
04011,2023,9,mid,-3,4.695609191123822
04012,2020,8,mid,-1,-0.6349962908096245
04012,2020,8,mid,-2,-1.2981075495300303
04012,2020,8,mid,-3,-1.7957867769450218
04012,2024,8,mid,-1,0.4838125487755178
04012,2024,8,mid,-2,0.7706052133330417
04012,2024,8,mid,-3,0.7562989447645805
04013,2023,2,mid,-1,0.9067694001580691
04013,2023,2,mid,-2,2.238840949846235
04013,2023,2,mid,-3,3.5866799523077333
04017,2022,8,mid,-1,-0.7472316001003634
04017,2022,8,mid,-2,-1.7809290936676518
04017,2022,8,mid,-3,-2.9895017768856604
04017,2023,8,mid,-1,-0.6452053322452969
04017,2023,8,mid,-2,-1.6126513851617972
04017,2023,8,mid,-3,-2.3545054049753418
04019,2021,9,mid,-1,-1.0480456446100703
04019,2021,9,mid,-2,-1.915551694120154
04019,2021,9,mid,-3,-2.544534684831973
04019,2024,9,mid,-1,0.03647377112386607
04019,2024,9,mid,-2,-0.009129071005233413
04019,2024,9,mid,-3,0.007130501812142143
04021,2024,8,mid,-1,0.33173364007281236
04021,2024,8,mid,-2,0.6622580899367705
04021,2024,8,mid,-3,0.9733986225936491
04023,2020,8,mid,-1,-0.7603777051789535
04023,2020,8,mid,-2,-1.551238381380486
04023,2020,8,mid,-3,-2.169209790778339
04023,2021,9,mid,-1,-0.37777833286511964
04023,2021,9,mid,-2,-0.9406177894731655
04023,2021,9,mid,-3,-1.4119980145580087
04027,2020,8,mid,-1,-0.18189620756318448
04027,2020,8,mid,-2,-0.4576009199521138
04027,2020,8,mid,-3,-0.7900503298257036
05003,2022,7,mid,-1,-0.5253836745574318
05003,2022,7,mid,-2,-0.6257599998703824
05003,2022,7,mid,-3,-0.350086461060485
05015,2021,4,mid,-1,-1.1046524748081339
05015,2021,4,mid,-2,-2.0817424760118257
05015,2021,4,mid,-3,-3.0723018657705268
05025,2020,4,mid,-1,0.053355859617525425
05025,2020,4,mid,-2,1.3436873579824464
05025,2020,4,mid,-3,3.050021569952847
05025,2023,1,mid,-1,0.43413512352405803
05025,2023,1,mid,-2,0.6312266068845673
05025,2023,1,mid,-3,0.40001505578071317
05025,2024,2,mid,-1,-0.0007556194159548113
05025,2024,2,mid,-2,0.043189467980511154
05025,2024,2,mid,-3,-0.5352102912363819
05031,2023,8,mid,-1,-0.5030825303046527
05031,2023,8,mid,-2,-0.9173801236086092
05031,2023,8,mid,-3,-1.3224038459232474
05031,2025,5,mid,-1,-1.030207316420686
05031,2025,5,mid,-2,-1.9256880730426502
05031,2025,5,mid,-3,-2.2904693360335244
05035,2022,5,mid,-1,0.1525310924572949
05035,2022,5,mid,-2,0.3293236699825002
05035,2022,5,mid,-3,0.6666008433499258
05037,2021,3,mid,-1,-0.4720069434883669
05037,2021,3,mid,-2,-0.7165665921345976
05037,2021,3,mid,-3,-0.8460979756394238
05037,2023,8,mid,-1,0.20839096458195172
05037,2023,8,mid,-2,-0.006193998822070057
05037,2023,8,mid,-3,-0.34031377294753895
05039,2024,4,mid,-1,-1.0913027642441904
05039,2024,4,mid,-2,-0.4838769157597653
05039,2024,4,mid,-3,1.1520108201251986
05041,2024,12,mid,-1,0.739470743648198
05041,2024,12,mid,-2,1.4920581759405422
05041,2024,12,mid,-3,2.1135011140886775
05055,2022,9,mid,-1,-0.6497309855252098
05055,2022,9,mid,-2,-1.1073153613483555
05055,2022,9,mid,-3,-1.2882242050610557
05055,2025,5,mid,-1,-0.805171126672036
05055,2025,5,mid,-2,-1.478754397935191
05055,2025,5,mid,-3,-1.908246445102293
05063,2023,8,mid,-1,0.11003822056872536
05063,2023,8,mid,-2,-0.11318156198663587
05063,2023,8,mid,-3,-0.607312756682731
05063,2024,11,mid,-1,0.38126379585585823
05063,2024,11,mid,-2,0.7261572727039436
05063,2024,11,mid,-3,0.5821527931201587
05065,2023,2,mid,-1,-0.029876677420716646
05065,2023,2,mid,-2,0.1673647174517896
05065,2023,2,mid,-3,0.34498390415194535
05077,2021,3,mid,-1,-1.5512626662035274
05077,2021,3,mid,-2,-1.4527412234387356
05077,2021,3,mid,-3,0.11560242157671041
05077,2024,4,mid,-1,-0.5779540058591124
05077,2024,4,mid,-2,-0.45701936300676493
05077,2024,4,mid,-3,0.047920368852473416
05079,2024,8,mid,-1,-0.5010393180393748
05079,2024,8,mid,-2,-0.7915792360549574
05079,2024,8,mid,-3,-0.6622805086224588
05081,2021,12,mid,-1,0.4580089683346671
05081,2021,12,mid,-2,0.5273909372110097
05081,2021,12,mid,-3,0.22359382887238155
05081,2024,6,mid,-1,0.24197007255773428
05081,2024,6,mid,-2,0.07484272670950531
05081,2024,6,mid,-3,-0.5372221751320723
05083,2024,8,mid,-1,-0.4946636657787593
05083,2024,8,mid,-2,-0.778143506236546
05083,2024,8,mid,-3,-0.9565353788089936
05089,2022,4,mid,-1,-0.7000442384046721
05089,2022,4,mid,-2,-0.8006032235758056
05089,2022,4,mid,-3,-0.8367371430157533
