target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
12031,2025,5,69,"28113,01023,28019,13091,13061,12093,01013,13125,28065,28003,13053,47069,13271,47137,37143,28023,13109,28147,37005,12067,28039,13315,28043,28111,45023,13309,47067,01035,13037,01085,13093,12075,13163,12015,13175,28069,47159,01131,28051,12041,13307,37187,13209,13259,13283,13219,37113,12105,37011,13173,13237,28139,13193,13235,13301,12007,28083,13281,28041,13221,13319,12087,47173,12049,28129,28061,13023,37141,13197"
17099,2021,7,58,"27067,46035,46005,27115,19167,19193,19141,46023,29197,27153,27029,19035,27063,46009,27073,38083,19041,46097,27133,27101,27159,27165,29103,27163,27041,19143,46079,46111,17023,27081,17079,31117,17027,29073,17175,27009,27127,31043,27149,27025,31015,19021,46135,31051,27083,46067,46011,27033,19059,46077,27023,19093,27019,29089,46087,46027,27135,29107"
05031,2022,5,55,"40093,48057,48015,40053,48291,48267,48241,40133,48247,48275,22083,48217,48115,22101,40075,22007,48177,48373,40043,22091,48149,05081,05037,48321,22125,48377,48431,48071,48425,05077,48489,48081,22037,48327,48077,22121,22047,48127,48197,40095,48155,22093,48471,48333,40003,05123,48239,48093,22057,48185,48433,22025,48435,22067,48013"
18133,2024,6,50,"39151,21023,54093,21233,51600,18059,51685,18115,21055,21033,21061,18111,18045,51735,39021,42023,51063,18173,21097,21201,51570,21213,51840,21219,21139,54073,39169,51678,42131,42055,21225,51790,51683,39007,21183,39003,51640,51580,42057,21181,51660,39103,39085,51670,51630,39123,18149,18181,39173,51530"
31181,2022,4,77,"19027,46015,27117,46035,31103,46005,19167,19193,19023,19183,46073,19141,29185,19185,46023,29197,46099,19035,20013,27063,46009,46125,19119,29115,19041,46097,27133,17063,27101,20089,27105,46101,29103,19143,46079,19025,31091,46111,20123,29135,27081,46083,17079,17129,19115,31061,29051,29073,17071,19073,46127,31043,31147,17039,19149,19021,19087,46135,31051,29093,29151,19197,17133,27083,19101,46067,27033,27103,19059,46077,20207,19093,46087,17013,29033,46027,29041"
22097,2024,6,71,"40093,05065,40053,40119,05137,48247,48275,40023,48323,22101,48309,48349,48153,48145,40045,40059,48487,40067,48373,40043,40083,48455,40017,48289,05095,40013,05037,48321,48391,22039,48377,48431,40005,48123,22065,22107,48313,48109,05035,48379,48395,40103,48427,48407,40095,48475,48099,48161,40153,48007,48477,48281,40069,40009,40015,48471,05025,48429,48333,40003,05123,05107,48239,48093,48009,48185,05011,40129,22011,48191,48047"
29169,2023,4,86,"19079,46015,38081,27117,46035,27161,31103,46005,29069,27013,19167,46073,19141,19145,27173,17051,31003,46023,27153,46099,31139,29155,19035,31159,27095,46045,27063,46125,19119,29123,38083,46097,27133,38019,17159,27159,27105,46101,27011,19129,17173,27041,38003,19143,46079,20209,31091,46111,29135,19189,17023,27081,17015,46083,19133,38095,38027,19115,27151,19165,17035,17175,27009,46127,31043,31147,38063,31015,19149,19021,46135,17033,17069,17147,31173,19195,46067,46011,38029,19059,29221,19093,46087,46027,29186,29003"
21191,2020,6,17,"18131,51600,51610,51685,21055,51720,18075,51735,21005,51195,21159,51840,21221,51520,18009,21063,21223"
37041,2021,6,42,"28113,47083,37043,28045,28005,47105,13269,37121,12027,13053,13021,47137,13141,28147,13031,13309,13037,13231,47183,13279,37199,13317,37087,47159,45011,47171,13209,13259,13283,37113,37075,13265,13301,13281,28135,28009,37181,13023,28027,13107,37073,13197"
17073,2024,3,79,"17199,19069,27065,19151,31103,27091,31095,31121,31011,29101,31097,17017,19145,20107,27173,31017,17005,29211,27029,27095,29075,31167,27073,27087,29083,29173,20097,38083,31085,46097,27125,17145,27079,29053,38099,27075,31115,29061,31039,38045,31073,27041,31053,31091,20123,31183,29175,31171,38089,29129,27031,38095,17151,31117,31071,27009,38031,27071,27127,38093,27149,38065,17033,29079,17069,31173,27121,20083,27023,19093,29089,17013,29033,29157,29003,29041,20141,29107,17003"
06015,2022,11,35,"06025,04027,32019,06091,06049,35059,35028,06079,06081,35037,35041,32005,35009,35053,06035,06085,06069,06041,35039,32001,06097,35006,06013,35003,06075,06053,04011,06087,32510,32029,32021,04012,32027,06055,04023"
