,nri_id,stateabbrv,county,risk_value,eal_valt,sovi_score,resl_score,crf_value,year
0,C01001,AL,Autauga,2602011.520830204,3311627.0725,25.8573117856,55.5298,0.785719969025952,2020
1,C01001,AL,Autauga,2087422.571669436,2656700.419943749,25.85731178557351,55.5298,0.785719969025952,2021
2,C01001,AL,Autauga,6156054.321904968,5514046.887245093,51.29999923706055,51.810001373291016,1.116431261428869,2023
3,C01001,AL,Autauga,20510899.445223816,19756570.050850827,38.04071247,55.1208651399491,1.038181192,2025
4,C01003,AL,Baldwin,18341433.709805418,18168582.4116,34.2924714229,54.759202,1.0095137470986761,2020
5,C01003,AL,Baldwin,11904921.522966143,11792728.48654183,34.29247142294049,54.759202,1.0095137470986761,2021
6,C01003,AL,Baldwin,210632685.03204638,202015117.82535577,31.030000686645508,86.12000274658203,1.0426580312377443,2023
7,C01003,AL,Baldwin,253268743.62569928,237391154.81483856,44.24300254,93.00254452926208,1.066883658,2025
8,C01005,AL,Barbour,3329979.822952034,3012916.10989,34.6866377611,50.781998,1.1052348294800713,2020
9,C01005,AL,Barbour,3905696.1752160257,3533815.684268073,34.6866377611352,50.781998,1.1052348294800713,2021
10,C01005,AL,Barbour,7412839.61680404,4715303.672074473,99.2699966430664,6.239999771118164,1.5720810646205527,2023
11,C01005,AL,Barbour,15998575.833403887,8923878.02871533,96.3740458,11.164122137404581,1.792782889,2025
12,C01007,AL,Bibb,1564590.1802651796,2142689.18953,21.4820654316,51.8076,0.7301993158458848,2020
13,C01007,AL,Bibb,1282439.44114247,1756286.8292431275,21.482065431612142,51.8076,0.7301993158458848,2021
14,C01007,AL,Bibb,3863746.994426648,3164980.64795442,80.77999877929688,19.729999542236328,1.2207806063281468,2023
15,C01007,AL,Bibb,12672466.906524258,8993704.310008163,75.25445293,22.169211195928753,1.40903753,2025
16,C01009,AL,Blount,4141448.656626228,4551372.90682,29.7201418999,53.3574,0.9099339345322547,2020
17,C01009,AL,Blount,5418308.436632994,5954617.396941283,29.720141899881753,53.357400000000005,0.9099339345322547,2021
18,C01009,AL,Blount,10238536.29147353,8509278.926663205,51.369998931884766,22.81999969482422,1.2032201999386603,2023
19,C01009,AL,Blount,28705360.233473726,21294673.675460633,69.33842239,15.648854961832063,1.34800658,2025
20,C01011,AL,Bullock,1217326.2121276497,962908.344063,37.8793851005,49.7898,1.2642181570378042,2020
21,C01011,AL,Bullock,963581.8585212004,762195.8703543491,37.87938510051242,49.7898,1.2642181570378042,2021
22,C01011,AL,Bullock,3861867.6330396095,2819556.185555831,83.0999984741211,17.979999542236328,1.3696721678480415,2023
23,C01011,AL,Bullock,8886364.11215195,5129262.282005452,97.55089059,33.14249363867685,1.732483859,2025
24,C01013,AL,Butler,5765549.06500379,3617997.05361,49.9408750493,52.902598,1.5935748370085003,2020
25,C01013,AL,Butler,6557653.1388853025,4115058.1614325047,49.94087504927079,52.902598,1.5935748370085003,2021
26,C01013,AL,Butler,6978410.734334171,5600245.762838086,68.43000030517578,39.59000015258789,1.2460900878031573,2023
27,C01013,AL,Butler,14894617.686379014,9390470.558299657,91.76208651,50.031806615776084,1.58614178,2025
28,C01015,AL,Calhoun,12068991.815773034,10648263.1296,38.3918013402,54.9294,1.1334235141338402,2020
29,C01015,AL,Calhoun,17255686.609886628,15224394.407480936,38.39180134016555,54.9294,1.1334235141338402,2021
30,C01015,AL,Calhoun,26233823.90671147,21605794.92323623,73.48999786376953,46.720001220703125,1.214203133923944,2023
31,C01015,AL,Calhoun,77751603.90155573,53781399.85017145,81.48854962,48.44147582697201,1.445696916,2025
32,C01017,AL,Chambers,3789365.5122259133,2775616.44518,43.1217973985,53.372202,1.3652338451900805,2020
33,C01017,AL,Chambers,2327125.746161209,1704562.0091825405,43.12179739850217,53.372202,1.3652338451900805,2021
34,C01017,AL,Chambers,5041149.591837785,3604000.6351308627,80.73999786376953,40.130001068115234,1.3987649010652128,2023
35,C01017,AL,Chambers,15636688.81543624,10902751.955890264,79.42111959,41.4440203562341,1.434196511,2025
36,C01019,AL,Cherokee,3892759.508683295,3815776.71529,32.5975561687,51.3446,1.0201748684834784,2020
37,C01019,AL,Cherokee,4076473.622425494,3995857.7184765376,32.59755616870319,51.3446,1.0201748684834784,2021
38,C01019,AL,Cherokee,5005163.92064373,4383938.023583251,32.689998626708984,13.59000015258789,1.1417049907454473,2023
39,C01019,AL,Cherokee,24261439.660738908,16127925.418349072,81.80661578,16.125954198473284,1.504312491,2025
40,C01021,AL,Chilton,2824225.1423830534,3009763.47962,29.7595585337,51.732202,0.9383545124082734,2020
41,C01021,AL,Chilton,3039785.8147817245,3239485.47652865,29.759558533701224,51.73220200000001,0.9383545124082734,2021
42,C01021,AL,Chilton,8034568.594594459,6176421.023552406,72.22000122070312,21.579999923706055,1.3008453542846936,2023
43,C01021,AL,Chilton,18927268.083146684,16121833.88283064,52.60814249,21.43765903307888,1.174014583,2025
44,C01023,AL,Choctaw,5030482.807763008,3750609.30119,39.1013007489,48.994998,1.3412441562939994,2020
45,C01023,AL,Choctaw,4917816.57984877,3666608.0197040495,39.10130074891604,48.994997999999995,1.3412441562939994,2021
46,C01023,AL,Choctaw,14763935.389033705,10512312.00514454,71.16000366210938,8.020000457763672,1.404442275096905,2023
47,C01023,AL,Choctaw,30453724.63571277,20591133.971812453,79.70737913,12.786259541984732,1.478972682,2025
48,C01025,AL,Clarke,5602450.311617168,3789666.68899,44.6196294836,51.3058,1.4783490927826954,2020
49,C01025,AL,Clarke,3242245.6549338014,2193152.9371259157,44.6196294836421,51.3058,1.4783490927826954,2021
50,C01025,AL,Clarke,13183483.029359404,9091113.332208836,85.5199966430664,22.18000030517578,1.4501505533598116,2023
51,C01025,AL,Clarke,18360843.316108197,13317190.291141743,74.10941476,35.846055979643765,1.378732519,2025
52,C01027,AL,Clay,2661487.651026128,2212622.68562,38.9436342136,52.906198,1.2028655713978413,2020
53,C01027,AL,Clay,2154176.4657376087,1790870.498716042,38.943634213638155,52.906197999999996,1.2028655713978413,2021
54,C01027,AL,Clay,2879757.2892155796,2212158.5845154715,53.09000015258789,40.63999938964844,1.301786096789409,2023
55,C01027,AL,Clay,9236216.077292468,5935467.605635976,89.40839695,49.904580152671755,1.556105886,2025
56,C01029,AL,Cleburne,2852503.1195103955,2847287.67957,31.4544737879,50.686202,1.0018317221606434,2020
57,C01029,AL,Cleburne,2271928.2788010407,2267774.346275629,31.454473787938507,50.686201999999994,1.0018317221606434,2021
58,C01029,AL,Cleburne,2902687.55834762,2311388.046995744,45.41999816894531,6.71999979019165,1.2558200956868428,2023
59,C01029,AL,Cleburne,9470248.965354646,6039350.9575408315,84.25572519,8.333333333333332,1.568090517,2025
60,C01031,AL,Coffee,6796707.293731291,6285803.79274,36.7363027197,54.866,1.0812789450382425,2020
61,C01031,AL,Coffee,9034528.735261811,8355409.838246946,36.736302719747734,54.866,1.0812789450382425,2021
62,C01031,AL,Coffee,40354826.61567451,32828035.649485696,64.88999938964844,42.869998931884766,1.229279358855172,2023
63,C01031,AL,Coffee,52607092.3471182,43010301.669957496,59.57379135,42.39821882951654,1.223127723,2025
64,C01033,AL,Colbert,7897911.982723874,7442212.21761,36.3815530154,55.188398,1.061231761711334,2020
65,C01033,AL,Colbert,6441473.675166865,6069808.601261043,36.38155301537249,55.18839800000001,1.061231761711334,2021
66,C01033,AL,Colbert,13039100.047965758,11551710.612660162,34.75,66.01000213623047,1.1287592362013885,2023
67,C01033,AL,Colbert,45382717.33549935,34936872.025097616,69.81552163,68.06615776081425,1.298992002,2025
68,C01035,AL,Conecuh,4299454.138341244,2543710.81899,51.320457233,49.4354,1.690229135420502,2020
69,C01035,AL,Conecuh,2913912.205304707,1723974.6636953885,51.3204572329523,49.4354,1.690229135420502,2021
70,C01035,AL,Conecuh,5854299.064603126,4376030.085328032,65.75,16.420000076293945,1.337810515570137,2023
71,C01035,AL,Conecuh,10537175.21746373,6236644.918544988,93.28880407,17.39821882951654,1.689558305,2025
72,C01037,AL,Coosa,1866338.9413710614,1817671.26818,33.3464722113,52.185202,1.0267747386686656,2020
