target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
42037,2022,7,1,42093,368214.78886321926,437237.67153734463
17039,2023,4,1,17147,229315.87099681864,341263.02173749194
48451,2022,7,1,48081,361397.98348165554,358184.6830205261
08099,2021,3,1,08011,239537.377737871,232705.58760893796
16085,2023,5,2,"16045,16003",1125307.7440370622,795531.104079636
40121,2023,2,1,40005,283318.42564205383,347634.9582933998
47151,2025,5,3,"21231,47137,21147",312726.792585327,298376.5988604405
40015,2022,6,1,40075,231351.66686852768,182340.12548253452
01125,2024,2,1,01063,377403.0263269983,239207.4211023346
37009,2021,7,1,47091,520140.38656389667,358393.74632533937
23013,2021,6,1,23015,593029.842426967,614668.0485783947
48309,2022,4,1,48217,416969.4162350234,439858.8350708485
13273,2021,5,1,13037,218490.41450961225,227114.90573370783
16017,2020,5,2,"30089,16079",630443.0478145242,347444.78014680976
45073,2022,9,2,"13147,13137",616995.9443568123,526348.4645079769
16053,2020,5,2,"16083,16067",382470.831631531,342315.9047771528
27127,2022,10,3,"27101,27083,27033",338920.43057099247,392526.24510160094
38043,2021,7,1,38083,350243.08477163856,338547.5027330034
40113,2023,1,1,40103,352790.95895555493,312115.50389476324
32031,2023,9,4,"06049,32019,41037,32029",882080.3049287522,468248.83710843266
28127,2025,7,2,"28065,28129",252595.5454670803,224062.48170899178
16083,2021,8,2,"16053,16047",511483.7489327367,553058.1001589008
23029,2025,8,1,23009,326885.55147933244,759595.94688092
19147,2024,7,1,19151,283059.57902582013,239723.25582276136
18135,2023,1,1,18075,235082.71089333392,279874.43465338956
27083,2024,9,2,"27173,27127",337004.1963800145,343136.8793898489
30047,2020,6,1,30089,651034.3379989378,410634.0550225592
01085,2022,6,1,01131,297087.08816008957,294048.24698663334
08027,2023,10,2,"08109,08043",672995.1338912336,468708.3955460889
41053,2021,12,1,41071,591781.0852023369,719173.1666060515
20145,2024,8,1,20083,205781.6398866238,336344.21693339135
48273,2020,5,1,48047,215822.7665048842,177955.97492184708
31071,2025,7,1,31175,517198.2474321637,506491.05380425305
18095,2021,8,1,18159,241689.60932099947,300474.0384715369
18057,2025,4,1,18023,690975.1321228311,345807.28293492465
40143,2021,12,1,40147,338503.5401108617,259726.9675967698
04019,2022,10,4,"04003,04023,04009,04027",545015.7145990646,402054.78665170114
17151,2023,7,1,17069,285827.8308557282,211785.32790403673
41005,2024,8,2,"41065,41027",908281.6378123974,800061.055352346
21075,2025,9,1,29143,164756.39536711402,189580.20804976329
35053,2020,6,2,"35006,35003",243275.51676586573,257150.17418119434
17149,2022,5,1,17013,206311.01758879996,355984.17167749844
