stcofips,year,month,tier,event_type,auc,auc_variance,pre_trend_annual,event_count,total_damage,log_damage,total_duration_days,resl_score,resl_value,risk_value,eal_valt,sovi_score,nri_vintage
01013,2024,5,bottom,"Hail,Tornado",23.350623844183588,1.5124974883720188,-0.7735321872169768,3,0.0,0.0,0.016666666666666666,44.01985744000106,2.5229911617918295,10336801.562474407,7208219.9184884485,78.32846111934363,2023
01013,2024,5,mid,"Hail,Tornado",15.415803756481637,1.3164334332826626,-1.6856562034927645,3,0.0,0.0,0.016666666666666666,44.01985744000106,2.5229911617918295,10336801.562474407,7208219.9184884485,78.32846111934363,2023
01013,2024,5,top,"Hail,Tornado",5.7923043449530525,0.5852088623839695,-3.061609744748438,3,0.0,0.0,0.016666666666666666,44.01985744000106,2.5229911617918295,10336801.562474407,7208219.9184884485,78.32846111934363,2023
01013,2024,12,bottom,"Thunderstorm Wind,Tornado",8.030684875738757,0.944037577263375,5.474732943722377,3,0.0,0.0,0.008333333333333333,46.23478608370765,2.506232710552734,12015996.976544525,8012206.99631363,83.27769152642756,2023
01013,2024,12,mid,"Thunderstorm Wind,Tornado",4.956674582390136,1.0457609420482012,3.1340618517573184,3,0.0,0.0,0.008333333333333333,46.23478608370765,2.506232710552734,12015996.976544525,8012206.99631363,83.27769152642756,2023
01013,2024,12,top,"Thunderstorm Wind,Tornado",7.817007039982627,0.8113641431121037,0.8442301006873976,3,0.0,0.0,0.008333333333333333,46.23478608370765,2.506232710552734,12015996.976544525,8012206.99631363,83.27769152642756,2023
01021,2023,6,bottom,Hail,19.838783996504134,1.9322067161146517,5.449057186559301,1,0.0,0.0,0.0006944444444444445,21.567059842739948,2.472448972741588,9024814.002644662,7080549.465304973,70.43710497245739,2023
01021,2023,6,mid,Hail,12.940641855777741,1.063760794493093,1.2150130951621538,1,0.0,0.0,0.0006944444444444445,21.567059842739948,2.472448972741588,9024814.002644662,7080549.465304973,70.43710497245739,2023
01021,2023,6,top,Hail,9.272121684987411,0.6026427630786761,-0.7224125357948168,1,0.0,0.0,0.0006944444444444445,21.567059842739948,2.472448972741588,9024814.002644662,7080549.465304973,70.43710497245739,2023
01025,2023,4,bottom,Thunderstorm Wind,-19.886789908762182,3.3769999185052666,-4.637248506176931,1,0.0,0.0,0.001388888888888889,22.594123204402084,2.4825830399302795,13340372.735018458,9219176.270358318,85.17422143448864,2023
