stcofips,year,month,tier,month_t,deviation
01003,2023,4,mid,-1,-0.3840156109495467
01003,2023,4,mid,-2,-0.9949694480165192
01003,2023,4,mid,-3,-0.8745239591991236
01013,2024,12,mid,-1,0.37611986385435614
01013,2024,12,mid,-2,0.7017176788389605
01013,2024,12,mid,-3,0.7660463397945279
01021,2023,6,mid,-1,-0.2426247184104824
01021,2023,6,mid,-2,-0.18346286171407655
01021,2023,6,mid,-3,0.32394744772068407
01025,2023,4,mid,-1,-0.45130755129267186
01025,2023,4,mid,-2,-0.8415624788175506
01025,2023,4,mid,-3,-0.9532135111974327
01025,2025,5,mid,-1,-0.2169460642385559
01025,2025,5,mid,-2,-0.4564803320033093
01025,2025,5,mid,-3,-0.773317638142828
01029,2023,8,mid,-1,0.15364980338782175
01029,2023,8,mid,-2,0.3742253665870834
01029,2023,8,mid,-3,0.15669502269174984
01039,2023,4,mid,-1,0.12291089503139574
01039,2023,4,mid,-2,0.9271741774208948
01039,2023,4,mid,-3,2.1872114630992456
01047,2023,6,mid,-1,1.3555322798089833
01047,2023,6,mid,-2,1.8067095896506231
01047,2023,6,mid,-3,1.410993826122322
01049,2023,7,mid,-1,0.26201162596149175
01049,2023,7,mid,-2,0.15213893325361028
01049,2023,7,mid,-3,0.3437585870726565
01053,2023,4,mid,-1,0.1176219431650054
01053,2023,4,mid,-2,0.19589224720735388
01053,2023,4,mid,-3,0.3363139356363547
01057,2022,2,mid,-1,-0.06258254807995911
01057,2022,2,mid,-2,-0.11994897596227361
01057,2022,2,mid,-3,-0.34678359672004433
01059,2022,3,mid,-1,-0.9534710100250834
01059,2022,3,mid,-2,-1.8161834791940947
01059,2022,3,mid,-3,-2.165970834525268
01085,2023,6,mid,-1,-0.10431281974013018
01085,2023,6,mid,-2,0.5005270434081837
01085,2023,6,mid,-3,1.399639057235774
01085,2024,12,mid,-1,0.3416869746873914
01085,2024,12,mid,-2,0.5440702423704522
01085,2024,12,mid,-3,1.2163693077782654
01091,2023,6,mid,-1,0.4738477261905416
01091,2023,6,mid,-2,0.7914906574965954
01091,2023,6,mid,-3,0.6683681722019799
01099,2025,5,mid,-1,-0.992028814560868
01099,2025,5,mid,-2,-2.36016197908927
01099,2025,5,mid,-3,-3.102197103541414
01105,2023,6,mid,-1,0.3514524473094127
01105,2023,6,mid,-2,0.920179893901448
01105,2023,6,mid,-3,1.344937052444024
01113,2022,10,mid,-1,-1.8875637446775784
01113,2022,10,mid,-2,-3.320341730588794
01113,2022,10,mid,-3,-4.420839893017842
01129,2023,4,mid,-1,-0.12116257462943736
01129,2023,4,mid,-2,-0.3271026584949652
01129,2023,4,mid,-3,-0.1155180743676425
01129,2025,5,mid,-1,0.3148499956054849
01129,2025,5,mid,-2,0.9277493880898078
01129,2025,5,mid,-3,1.0302340966140093
04001,2020,7,mid,-1,-0.22640221561752583
04001,2020,7,mid,-2,0.04433326628334555
04001,2020,7,mid,-3,0.6460101666136353
04001,2023,8,mid,-1,0.10079504547435647
04001,2023,8,mid,-2,0.24479335664847213
04001,2023,8,mid,-3,0.42473734599828106
04003,2024,9,mid,-1,0.05365557155508327
04003,2024,9,mid,-2,0.6630611856692497
04003,2024,9,mid,-3,1.389356798854024
04009,2021,9,mid,-1,-1.1485651212883141
04009,2021,9,mid,-2,-1.3824259494870006
04009,2021,9,mid,-3,-0.8430520728323643
04009,2023,11,mid,-1,0.2159085310658071
04009,2023,11,mid,-2,0.5654596815892319
04009,2023,11,mid,-3,0.9056205222952229
04011,2023,9,mid,-1,0.37808427080651086
04011,2023,9,mid,-2,2.1175040553806355
04011,2023,9,mid,-3,4.688819454752078
04012,2024,8,mid,-1,0.884122043956296
04012,2024,8,mid,-2,1.3252446351618232
04012,2024,8,mid,-3,1.1555559919542588
04013,2023,2,mid,-1,0.5729435982522091
04013,2023,2,mid,-2,1.4149127894364
04013,2023,2,mid,-3,2.51881226790465
04017,2023,8,mid,-1,-0.17831407738732707
04017,2023,8,mid,-2,-0.3765234612482402
04017,2023,8,mid,-3,-0.05110200605362536
