stcofips,year,month,tier,month_t,deviation
01007,2021,3,mid,-1,0.3651960835299377
01007,2021,3,mid,-2,0.694529671910189
01007,2021,3,mid,-3,0.8914703784144393
01007,2021,3,mid,-4,1.0714083422106455
01007,2021,3,mid,-5,1.2822948083726686
01007,2021,3,mid,-6,1.634393814621717
01011,2024,8,mid,-1,-0.32791985608429286
01011,2024,8,mid,-2,-1.2724466939311867
01011,2024,8,mid,-3,-2.9266388561627394
01011,2024,8,mid,-4,-4.139232053238217
01011,2024,8,mid,-5,-4.768171453930179
01011,2024,8,mid,-6,-4.636430014208727
01011,2025,5,mid,-1,0.532261990147262
01011,2025,5,mid,-2,0.9367857655537932
01011,2025,5,mid,-3,0.8103635984650737
01011,2025,5,mid,-4,0.8914565672000521
01011,2025,5,mid,-5,1.1108793508142014
01011,2025,5,mid,-6,1.2925198320452438
01013,2024,5,mid,-1,0.022500812334754983
01013,2024,5,mid,-2,0.2258916308070411
01013,2024,5,mid,-3,0.4870070794495689
01013,2024,5,mid,-4,0.6420039135360582
01013,2024,5,mid,-5,0.41404540009992274
01013,2024,5,mid,-6,0.1103156481379699
01013,2024,12,mid,-1,-0.7246099583607304
01013,2024,12,mid,-2,-1.1063711056144854
01013,2024,12,mid,-3,-1.6428110886690064
01013,2024,12,mid,-4,-1.8258161007850902
01013,2024,12,mid,-5,-2.0171751738729
01013,2024,12,mid,-6,-2.0129670402584026
01021,2023,6,mid,-1,0.04048246991145277
01021,2023,6,mid,-2,0.32475336771267393
01021,2023,6,mid,-3,0.6522735009814369
01021,2023,6,mid,-4,0.7196254339714869
01021,2023,6,mid,-5,0.4488706083960494
01021,2023,6,mid,-6,0.018942707295963146
01023,2024,5,mid,-1,-0.3954775394858814
01023,2024,5,mid,-2,-0.3528110550101218
01023,2024,5,mid,-3,0.37510090480226665
01023,2024,5,mid,-4,1.5967427050958918
01023,2024,5,mid,-5,2.2400326566239386
01023,2024,5,mid,-6,2.635489426076589
01025,2023,4,mid,-1,-0.4253231653257643
01025,2023,4,mid,-2,-1.1264026590412044
01025,2023,4,mid,-3,-1.9432766769256347
01025,2023,4,mid,-4,-2.879225778353174
01025,2023,4,mid,-5,-2.980300495856312
01025,2023,4,mid,-6,-2.441474338015084
01027,2021,3,mid,-1,0.28468295428872636
01027,2021,3,mid,-2,0.3825599291553772
01027,2021,3,mid,-3,0.5947812785271935
01027,2021,3,mid,-4,1.1945734269531414
01027,2021,3,mid,-5,2.1674778933349756
01027,2021,3,mid,-6,3.1440798365650693
01027,2022,5,mid,-1,0.5876792271646423
01027,2022,5,mid,-2,1.6956200627308107
01027,2022,5,mid,-3,3.3251690640970395
01027,2022,5,mid,-4,4.625594759131218
01027,2022,5,mid,-5,5.521948435342523
01027,2022,5,mid,-6,5.906479239536168
01029,2020,1,mid,-1,0.21371850532028702
01029,2020,1,mid,-2,-0.011122411719640013
01029,2020,1,mid,-3,-0.141452044381424
01029,2020,1,mid,-4,-0.46766517157813325
01029,2020,1,mid,-5,-0.9674541297166144
01029,2020,1,mid,-6,-2.0468524055961552
01029,2022,6,mid,-1,-0.13209677479548532
01029,2022,6,mid,-2,-0.7330153767968142
01029,2022,6,mid,-3,-1.279289108915151
01029,2022,6,mid,-4,-0.9001621329631178
01029,2022,6,mid,-5,-0.21019660351660718
01029,2022,6,mid,-6,0.4186339453056718
01029,2023,8,mid,-1,-0.5440076442468325
01029,2023,8,mid,-2,-0.6702933201092662
01029,2023,8,mid,-3,-0.7622918466702799
01029,2023,8,mid,-4,-0.13763977728292787
01029,2023,8,mid,-5,0.8442971440214251
01029,2023,8,mid,-6,1.4033612445029604
01035,2024,5,mid,-1,0.1133893022475263
01035,2024,5,mid,-2,-0.10682224001547524
01035,2024,5,mid,-3,-0.03769838733639119
01035,2024,5,mid,-4,0.1987278682753697
01035,2024,5,mid,-5,0.8277259097665137
01035,2024,5,mid,-6,1.6736474605768166
01035,2024,12,mid,-1,-0.09441740551022804
01035,2024,12,mid,-2,-0.089150929137503
01035,2024,12,mid,-3,-0.2501203293325318
01035,2024,12,mid,-4,-0.7496274319654361
01035,2024,12,mid,-5,-1.4104370088303142
01035,2024,12,mid,-6,-1.6760455252322828
01037,2022,6,mid,-1,0.05105200513450825
01037,2022,6,mid,-2,0.14614486885398037
01037,2022,6,mid,-3,0.21228445963484432
01037,2022,6,mid,-4,0.7654492862187823
01037,2022,6,mid,-5,1.682489142262554
01037,2022,6,mid,-6,2.6557573136580714
01039,2023,4,mid,-1,-0.406234910205697
01039,2023,4,mid,-2,-0.899507052167877
01039,2023,4,mid,-3,-1.1322911731345329
01039,2023,4,mid,-4,-1.130719282995031
01039,2023,4,mid,-5,-0.8338087651807626
